"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
location_contact_d1_hh_24,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
location_contact_other_d1_24,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_24(12)]=""1""",y,,,,,
contact_mask_d1_hh_24,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
duration_contact_d1_hh_24,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
frequency_contact_d1_hh_24,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
known_contact_d1_hh_24,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_24]=""1""",y,,,,,
contact_id_d1_hh_25,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][25]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 25",y,,,,,
touch_contact_d1_hh_25,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
where_contact_d1_hh_25,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
location_contact_d1_hh_25,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
location_contact_other_d1_25,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_25(12)]=""1""",y,,,,,
contact_mask_d1_hh_25,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
duration_contact_d1_hh_25,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
frequency_contact_d1_hh_25,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
known_contact_d1_hh_25,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_25]=""1""",y,,,,,
contact_id_d1_hh_26,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][26]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 26",y,,,,,
touch_contact_d1_hh_26,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
where_contact_d1_hh_26,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
location_contact_d1_hh_26,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
location_contact_other_d1_26,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_26(12)]=""1""",y,,,,,
contact_mask_d1_hh_26,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
duration_contact_d1_hh_26,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
frequency_contact_d1_hh_26,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
known_contact_d1_hh_26,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_26]=""1""",y,,,,,
contact_id_d1_hh_27,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][27]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 27",y,,,,,
touch_contact_d1_hh_27,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
where_contact_d1_hh_27,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
location_contact_d1_hh_27,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
location_contact_other_d1_27,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_27(12)]=""1""",y,,,,,
contact_mask_d1_hh_27,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
duration_contact_d1_hh_27,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
frequency_contact_d1_hh_27,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
known_contact_d1_hh_27,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_27]=""1""",y,,,,,
contact_id_d1_hh_28,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][28]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 28",y,,,,,
touch_contact_d1_hh_28,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
where_contact_d1_hh_28,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
location_contact_d1_hh_28,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
location_contact_other_d1_28,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_28(12)]=""1""",y,,,,,
contact_mask_d1_hh_28,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
duration_contact_d1_hh_28,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
frequency_contact_d1_hh_28,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
known_contact_d1_hh_28,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_28]=""1""",y,,,,,
contact_id_d1_hh_29,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][29]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 29",y,,,,,
touch_contact_d1_hh_29,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
where_contact_d1_hh_29,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
location_contact_d1_hh_29,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
location_contact_other_d1_29,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_29(12)]=""1""",y,,,,,
contact_mask_d1_hh_29,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
duration_contact_d1_hh_29,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
frequency_contact_d1_hh_29,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
known_contact_d1_hh_29,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_29]=""1""",y,,,,,
contact_id_d1_hh_30,contact_day_1_household,,radio,"Did you have contact with [household_survey_arm_1][hh_member_name][30]?","0, No | 1, Yes",,,,,,"[household_survey_arm_1][hh_occupants] >= 30",y,,,,,
touch_contact_d1_hh_30,contact_day_1_household,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
where_contact_d1_hh_30,contact_day_1_household,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
location_contact_d1_hh_30,contact_day_1_household,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
location_contact_other_d1_30,contact_day_1_household,,text,"If other location, please specify.",,,,,,,"[location_contact_d1_hh_30(12)]=""1""",y,,,,,
contact_mask_d1_hh_30,contact_day_1_household,,radio,"Was this individual wearing a mask when you had contact?","0, No, no mask was worn during the encounter | 1, Yes, for the entire encounter | 2, Yes, during parts of encounter | 3, I don't remember",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
duration_contact_d1_hh_30,contact_day_1_household,,radio,"What was the total time spent with the contact on this day?","0, < 5 mins | 1, 5-15 mins | 2, 16-30 mins | 3, 31 mins - 1 hr | 4, 1-4 hr | 5, >4 hrs",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
frequency_contact_d1_hh_30,contact_day_1_household,,radio,"In the past 6 months, how often have you had contact with this person?","0, Never met before (0) | 1, Rarely | 2, Daily or almost daily | 3, 1-3 times per week | 4, Once every 2 weeks | 5, Once per month | 6, Once every 3 months",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
known_contact_d1_hh_30,contact_day_1_household,,radio,"How long have you known this person?","0, Never met before | 1, Less than a year | 2, 1-2 years | 3, 3-5 years | 4, 6-10 years | 5, More than 10 years",,,,,,"[contact_id_d1_hh_30]=""1""",y,,,,,
contact_d1_hh_sum,contact_day_1_household,,calc,"Total number of contacts made with household members on day 1","(if([contact_id_d1_hh_1] =""1"", 1, 0)) + (if([contact_id_d1_hh_2] =""1"", 1, 0)) +(if([contact_id_d1_hh_3] =""1"", 1, 0)) + (if([contact_id_d1_hh_4] =""1"", 1, 0)) + (if([contact_id_d1_hh_5] =""1"", 1, 0)) + (if([contact_id_d1_hh_6] =""1"", 1, 0)) + (if([contact_id_d1_hh_7] =""1"", 1, 0)) + (if([contact_id_d1_hh_8] =""1"", 1, 0)) + (if([contact_id_d1_hh_9] =""1"", 1, 0)) + (if([contact_id_d1_hh_10] =""1"", 1, 0)) + (if([contact_id_d1_hh_11] =""1"", 1, 0)) + (if([contact_id_d1_hh_12] =""1"", 1, 0)) + (if([contact_id_d1_hh_13] =""1"", 1, 0)) + (if([contact_id_d1_hh_14] =""1"", 1, 0)) + (if([contact_id_d1_hh_15] =""1"", 1, 0)) + (if([contact_id_d1_hh_16] =""1"", 1, 0)) + (if([contact_id_d1_hh_17] =""1"", 1, 0)) + (if([contact_id_d1_hh_18] =""1"", 1, 0)) +
(if([contact_id_d1_hh_19] =""1"", 1, 0)) + (if([contact_id_d1_hh_20] =""1"", 1, 0)) + (if([contact_id_d1_hh_21] =""1"", 1, 0)) +
(if([contact_id_d1_hh_21] =""1"", 1, 0)) + (if([contact_id_d1_hh_23] =""1"", 1, 0)) + (if([contact_id_d1_hh_24] =""1"", 1, 0)) +
(if([contact_id_d1_hh_25] =""1"", 1, 0)) + (if([contact_id_d1_hh_26] =""1"", 1, 0)) + (if([contact_id_d1_hh_27] =""1"", 1, 0)) +
(if([contact_id_d1_hh_28] =""1"", 1, 0)) + (if([contact_id_d1_hh_29] =""1"", 1, 0)) + (if([contact_id_d1_hh_30] =""1"", 1, 0))",,,,,,,,,,,,
day1_contact_descriptive,contact_day_1,,descriptive,"The following instrument will collect data on each contact contacted by the participant on day 1 of the diary. This section should be answered by the participant after two days of diary-keeping. You should add an instance for each contact and answer all questions for each contact. For example, if the participant had 10 contacts in day 1, you should have 10 instances. ",,,,,,,,,,,,,
contact_id_d1,contact_day_1,"Day 1 Contacts (Repeat for each person contacted)",text,"Contact person name o nickname",,,,,,,,y,,,,,
contact_hhmember_d1,contact_day_1,,yesno,"Is this contact a member of the household?",,,,,,,,,,,,,
contact_hhmember_id_d1,contact_day_1,,text,"If yes, what is the Perm ID of the household member contact? ",,,,,,,"[contact_hhmember_d1] = '1'",,,,,,
contact_age_yn_d1,contact_day_1,,radio,"Do you know the age of the contact?","0, No | 1, Yes",,,,,,,y,,,,,
age_contact_d1,contact_day_1,,text,"What is the age of contact (Enter if exact age is known)?",,,number,0,110,,[contact_age_yn_d1]='1',y,,,,,
age_group_contact_d1,contact_day_1,,radio,"If you do not know the exact age, please estimate the age group of the contact.","0, < 6 months | 1, 6-11 months | 2, 1-4 yrs | 3, 5-9 yrs | 4, 10-19 yrs | 5, 20-29 yrs | 6, 30-39 yrs | 7, 40-49 yrs | 8, 50-59 yrs | 9, 60+ yrs | 10, I don't know",,,,,,[contact_age_yn_d1]='0',y,,,,,
sex_contact_d1,contact_day_1,,radio,"What is the sex of the contact?","0, Female | 1, Male | 2, Transsexual Female | 3, Transsexual Male | 4, Other",,,,,,,y,,,,,
touch_contact_d1,contact_day_1,,radio,"Did you touch?","0, No | 1, Yes | 2, Do not remember",,,,,,,y,,,,,
where_contact_d1,contact_day_1,,radio,"Did the contact occur indoors or outdoors?","0, Indoors | 1, Outdoors | 2, Both",,,,,,,y,,,,,
location_contact_d1,contact_day_1,,checkbox,"Where did you have the contact?","0, My home | 1, Other home | 2, School | 3, Work | 4, Transport/ Hub | 5, Market/Shop | 6, Street | 7, Well | 8, Agricultural Field | 9, Playground | 10, Place of worship | 11, Other",,,,,,,y,,,,,
